CustomerID|CustomerName|DOB|Country|AgeVerified|IDExpiry|CustomerType|ExpectedMonthlyIncome
16411211-2570|Stephanie Shepard|1952-06-22|Venezuela|0|2022-06-08|Individual|8891
16410525-3357|Cain House|1956-11-30|Puerto Rico|0|2024-09-10|Corporate|5884
16021230-1485|Zoe Shaw|1982-02-27|Iraq|1|2020-12-08|Bank|5026
16331125-2435|Reese Cleveland|1979-04-13|Belgium|1|2029-03-04|Bank|8959
16870529-5205|Jermaine Wallace|1976-11-21|Armenia|0|2024-12-30|Individual|9241
16000410-2737|Phillip Hurst|1981-09-01|Azerbaijan|1|2029-10-30|Individual|8278
16150522-1224|Adam Carver|1976-04-06|Libya|1|2024-07-13|Corporate|8278
16750228-1681|Galena Mann|2007-02-02|Greece|1|2020-11-10|Corporate|7762
16360708-6075|Knox Sharp|1965-04-14|Saint Pierre and Miquelon|0|2024-06-14|Corporate|6566
16640330-8262|Edan Martin|1952-03-12|Anguilla|1|2028-05-02|Individual|7371
16110904-5540|Patience Hodges|1966-06-29|Malawi|1|2031-04-01|Individual|6181
16970107-0568|Karyn Finley|1964-11-08|Palau|1|2025-12-03|Bank|8356
16170321-6968|Ima Mcbride|2000-03-31|Poland|1|2031-10-26|Bank|5047
16370328-5191|Elton Hubbard|1959-01-03|Samoa|0|2026-12-10|Individual|7888
16430202-1268|Kimberly Gay|2003-01-07|Philippines|0|2026-08-22|Bank|5304
16300318-7477|Kaye Rich|1976-09-16|Pitcairn Islands|1|2022-05-09|Bank|5578
16830607-8679|Zahir Stokes|2010-03-13|Paraguay|1|2029-03-09|Bank|7248
16000819-2924|Leo Hull|1983-01-14|Algeria|1|2028-05-09|Individual|8378
16300427-2518|Laurel Cooper|2002-11-17|British Indian Ocean Territory|1|2022-12-10|Corporate|8826
16200306-4108|Kelsie Sanders|1945-03-03|New Zealand|0|2031-08-08|Bank|7312
16610601-8846|Rahim Robbins|1992-07-04|Venezuela|1|2024-12-18|Corporate|6822
16200501-0570|Wallace Joseph|1975-03-29|Martinique|1|2029-04-01|Individual|5283
16950622-5854|Brent Stanley|1998-08-18|Chile|1|2023-05-15|Bank|6370
16941130-6724|Levi Lamb|1965-02-27|Virgin Islands, British|1|2022-06-18|Individual|6432
16410405-4426|Cade Mercado|1986-09-09|French Polynesia|1|2023-10-06|Individual|8614
16620120-8649|Noel Ramirez|1976-01-10|Romania|1|2026-01-02|Bank|9977
16670817-3619|Halla Munoz|2013-11-01|United Arab Emirates|0|2030-01-23|Bank|6197
16950205-3565|Melvin Kelley|1956-11-29|Somalia|1|2026-05-14|Individual|5221
16201102-3617|Mufutau Mullins|1974-09-17|Cook Islands|1|2022-09-04|Corporate|5921
16470521-3231|Richard Grimes|1973-04-15|Viet Nam|1|2028-10-04|Corporate|9096
16160430-8062|George Noel|1957-02-12|China|1|2024-03-31|Bank|8543
16490317-5638|Irma Silva|1953-09-01|Congo (Brazzaville)|1|2021-11-18|Bank|7457
16440702-0694|Dolan Ramirez|2007-02-13|Hungary|0|2030-05-03|Bank|5907
16080722-8978|Noel Hardin|2004-09-08|Burundi|0|2023-10-01|Corporate|6794
16540109-4569|Ria Harvey|1992-12-10|Saint Lucia|1|2023-05-12|Bank|6837
16320701-3008|Basia Matthews|2009-07-26|Saint Barthélemy|0|2025-09-20|Bank|7549
16310503-7349|Cameron Levine|1966-06-01|Barbados|0|2028-06-18|Bank|6390
16890128-5547|Jasmine Stuart|1963-08-28|Namibia|0|2032-08-10|Bank|5543
16150206-3249|Jada Tate|1978-02-16|Panama|0|2023-08-21|Corporate|5214
